 
          12          20  -76.594507733632781     
          12          21  -155.83480495147887     
          12          22  -6.7807393359253183     
          12          23   41.626401734774845     
          12          24  -1436.2655576205143     
          12          25  -857.41049384509824     
          12          26  -18.089731189029408     
          13           1  -159.06016007080325     
          13           2   107.08653733625397     
          13           3  -147.63915182921119     
          13           4   289.13601533803012     
          13           5  -2073.5829016604548     
          13           6  -117.53018908357990     
          13           7  -578.18490641750395     
          13           8  -369.79913226665667     
          13           9  -179.11745475550924     
          13          10  -1491.5527145360611     
          13          11  -118.50593403229868     
          13          12  -2742.7178242563969     
          13          13   0.0000000000000000     
          13          14   363.88214423661702     
          13          15  -286.06112489516090     
          13          16  -344.94012108887546     
          13          17  -1760.1668392818392     
          13          18  -252.60693171360617     
          13          19   105.18102286616340     
          13          20   106.64889041607967     
          13          21   256.74550437594735     
          13          22  -84.712645873285510     
          13          23   175.28699033032899     
          13          24  -326.49191150117986     
          13          25  -970.80698800683604     
          13          26  -224.40867933805566     
          14           1   51.549947800431255     
          14           2  -28.901477396721020     
          14           3   121.49352188299599     
          14           4  -255.56006997544682     
          14           5   125.61069882602169     
          14           6  -117.87468298809108     
          14           7  -198.54507428235229     
          14           8   196.66608587381779     
          14           9   8.6273255725536728     
          14          10  -6.5279267907317262     
          14          11  -701.02159895544901     
          14          12  -1612.5190828325431     
          14          13   363.88214423661702     
          14          14   0.0000000000000000     
          14          15   384.99351400724117     
          14          16  -296.34839494816697     
          14          17  -1859.1486084321514     
          14          18   21.844209131395473     
          14          19  -1337.3868138941034     
          14          20  -95.009929625473887     
          14          21  -649.90997765062639     
          14          22   56.334522512377589     
          14          23  -51.869441378519696     
          14          24  -194.93853306570236     
          14          25  -45.896210187711404     
          14          26  -34.263323330262210     
          15           1  -163.37879981519291     
          15           2  -6.0872695972648216E-002
          15           3  -742.77944878184644     
          15           4  -206.65988275885320     
          15           5  -115.51823018505456     
          15           6   114.25800073505525     
          15           7   343.62209737281228     
          15           8  -1130.5690637264852     
          15           9  -23.633484156063787     
          15          10  -86.735754453984555     
          15          11  -717.92540737648960     
          15          12   246.71999963159033     
          15          13  -286.06112489516090     
          15          14   384.99351400724117     
          15          15   0.0000000000000000     
          15          16   43.877232583552541     
          15          17   106.71056004613638     
          15          18  -40.971929972100043     
          15          19  -2299.6170828145114     
          15          20  -198.68525339075495     
          15          21  -543.56968725829211     
          15          22  -1952.5723598549812     
          15          23   24.692577917328890     
          15          24   54.894048087277042     
          15          25  -16.853375302533095     
          15          26   9.3469871864654124     
          16           1  -8.3302095773760811     
          16           2   178.10084572350388     
          16           3 -0.64386242134060012     
          16           4  -319.96123159726994     
          16           5  -1138.0606751483647     
          16           6   39.989854331281094     
          16           7   47.382048186562315     
          16           8  -42.844633110373252     
          16           9   1.3494561285588134     
          16          10   2.5823964004230220     
          16          11  -87.251409306132700     
          16          12   152.41901742166374     
          16          13  -344.94012108887546     
          16          14  -296.34839494816697     
          16          15   43.877232583552541     
          16          16   0.0000000000000000     
          16          17  -2129.5883984471729     
          16          18   104.20744484532770     
          16          19  -274.02481416074443     
          16          20   272.05891794247873     
          16          21  -2372.1827549488517     
          16          22   35.467070645019703     
          16          23  -90.029714402189711     
          16          24   61.265687306560721     
          16          25   13.560576167070394     
          16          26  -2054.3338793139555     
          17           1  -13.264396136069990     
          17           2   147.06320023975422     
          17           3   30.795516283138568     
          17           4  -121.79526488440024     
          17           5  -200.12382333621645     
          17           6   100.36940497482647     
          17           7   194.68197890491865     
          17           8  -57.123364528062666     
          17           9  -13.358025703604653     
          17          10  -31.010329663211451     
          17          11  -518.72303761017247     
          17          12   689.90971390117193     
          17          13  -1760.1668392818392     
          17          14  -1859.1486084321514     
          17          15   106.71056004613638     
          17          16  -2129.5883984471729     
          17          17   0.0000000000000000     
          17          18   88.039540580830362     
          17          19  -369.21342076260044     
          17          20   92.124259913245623     
          17          21  -631.14708743847586     
          17          22   37.826035011727072     
          17          23  -23.840987149909779     
          17          24   112.82725625215608     
          17          25   25.830709942914837     
          17          26  -349.31577192008263     
          18           1  -343.98228797208503     
          18           2  -1585.5553727610677     
          18           3  -93.864342468084942     
          18           4   38.750363930375897     
          18           5  -2502.7713389996134     
          18           6  -29.796519454088411     
          18           7  -16.356411969125475     
          18           8  -42.736114314189763     
          18           9  -84.378295593007351     
          18          10  -269.04480118551874     
          18          11  -161.32513504182134     
          18          12  -66.940918281616177     
          18          13  -252.60693171360617     
          18          14   21.844209131395473     
          18          15  -40.971929972100043     
          18          16   104.20744484532770     
          18          17   88.039540580830362     
          18          18   0.0000000000000000     
          18          19  -43.593995292412728     
          18          20  -3.7192059139888443     
          18          21  -96.212117105336802     
          18          22  -49.854764484185580     
          18          23  -232.80344047809922     
          18          24  -59.927336477496283     
          18          25  -104.06876424664006     
          18          26   407.16908785724081     
          19           1   3.1712170891878486     
          19           2  -131.85545414303488     
          19           3  -187.83001526270527     
          19           4   119.81053144430189     
          19           5   19.178778287834575     
          19           6  -56.650509089584375     
          19           7  -132.25873273527395     
          19           8   9.3993280181966838     
          19           9  -5.1226074215082917     
          19          10  -98.803053958610690     
          19          11   2082.2908470785915     
          19          12  -137.94273515543682     
          19          13   105.18102286616340     
          19          14  -1337.3868138941034     
          19          15  -2299.6170828145114     
          19          16  -274.02481416074443     
          19          17  -369.21342076260044     
          19          18  -43.593995292412728     
          19          19   0.0000000000000000     
          19          20  -495.39646555594663     
          19          21  -2800.6068860496453     
          19          22  -267.75185669300117     
          19          23  -84.232176480090857     
          19          24  -10.464754264616204     
